ASN,NREN_Name
AS36944,Ubuntunet Alliance For Research and Education Networking
AS327687,Research and Education Network of Uganda
AS37532,Zambia Research and Education Network
AS37215,Malawi Research and Education Network
AS327700,Mozambique Research & Education Network
AS37182,Tanzania Education And Research Network
AS36914,Kenya Education Network
AS37598,Eb@le
AS37467,Ethiopian Educational Research Network
AS37608,iRENALA
AS327815,Xnet Development Alliance Trust
AS327764,Somali Research & Education Network
AS37197,Sudanese Research and Education Network
AS2018,South African NREN
